number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
62,4952.0,61,3,0,1,0,0,0,1,0,0,0,0,0,0,0,167,0,1164,0,0,0,0.4760548377172743,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,288.0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,588,0,0,1,0.5299453720882291,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
51,2649.0,50,4,0,0,0,0,1,0,0,1,1,1,1,0,0,92,0,1262,1,0,0,0.4979129906661555,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,2093.0,47,1,0,1,0,0,1,0,1,0,1,0,0,0,0,121,0,1084,0,0,0,0.4932577503142018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52,2234.0,51,2,0,1,0,0,0,0,0,1,0,0,0,0,0,114,0,1219,1,0,1,0.5386533265788588,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
47,411.0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,1,71,0,598,0,0,0,0.5945720705366379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,579.0,43,0,1,1,0,0,0,0,0,0,0,1,0,0,1,51,0,843,0,0,0,0.4451116857948257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,494.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,512,0,0,0,0.4630503369338321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,710.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,26,0,765,1,0,0,0.5199548133570692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,926.0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,577,0,0,0,0.5584948384948383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,920.0,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,54,0,766,0,0,0,0.4759119077269765,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,663.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,26,0,904,0,0,1,0.4351203277009728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,406.0,38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,133,0,1003,0,0,0,0.531575963718821,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,191.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,701,0,0,0,0.4527777777777777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,660.0,40,1,0,1,0,0,0,0,0,1,0,0,0,0,0,104,0,1130,0,0,0,0.5131323293295128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
